"Location","Assay"
"Spain","Orient Gene Biotech COVID-19 IgG/IgM Rapid Test"
"Atlanta","Vitros Ortho total Ig anti-spike"
"France","Euroimmun anti-spike"
"Geneva","Euroimmun anti-spike"
"Neuchatel","SenASTrIS test (Sensitive Anti-SARS-CoV-2 Spike Trimer Immunoglobulin Serological)"
"Fribourg","SenASTrIS test (Sensitive Anti-SARS-CoV-2 Spike Trimer Immunoglobulin Serological)"
"Ticino","Techno Genetics, Rapid Test SARS-CoV-2 IgM/IgG Gold, anti-nucleocapsid"
"Freiburg","Euroimmun anti-spike"
"Reutlingen","Euroimmun anti-spike"
"Osnabruck","Euroimmun anti-spike"
"Aachen","Euroimmun anti-spike"
"Magdeburg","Euroimmun anti-spike"
"Munich","Elecsys Anti-SARS-CoV-2 Roche nucleocapsid IgG IgM"
"Denmark","Wantai SARS-CoV-2 Total Antibody, IgG IgM anti-RBD"
"England","University of Oxford, IgG for spike"
"Scotland","University of Oxford, IgG for spike"
"Wales","University of Oxford, IgG for spike"
"Ireland","University of Oxford, IgG for spike"
