phase_id for later sampling,country,location,type of sample drawn from,midpoint date of initial sampling,midpoint date of later sampling,months between sampling,test name for later sampling,citation id,number of later seropositives among initial seropositives,number of initial seropositives,sensitivity estimate,"relative sensitivity, lower 95% CI",relative sensitivity upper 95% CI,included in sensitivity overtime tabulation,notes
2,USA,"Davis, Salt Lake, Summit, and Utah counties",representative,5/31/2020,early September 2020,3,Abbott Architect IgG,n-11,36,46,78.3,,,Yes,page 40 (of n-11)
2,Ireland,National,representative,7/4/2020,*October 2020,3,Abbott Architect IgG,n-137,15,22,68.2,,,Yes,
2,USA,Wisconsin,representative,--,--,4,Abbott Architect IgG,n-12,12,18,66.7,,,Yes,figure 2
2,Italy,Trento: 5 municipalities,representative,5/10/2020,--,4,Abbott Architect IgG,n-118,679,1159,58.6,,,Yes,
3,USA,Wisconsin,representative,--,--,5,Abbott Architect IgG,n-12,4,7,,,,Yes,
--,--,--,hospitalized + non-hospitalized patients,* March - May 2020,--,5,Abbott Architect IgG,n-133,19,64,29.7,,,Yes,tables 1 and 2
6,Ireland,National,representative,7/4/2020,*January 2021,6,Abbott Architect IgG,n-137,4,22,18.2,,,Yes,
4,Spain,National,representative,5/4/2020,11/22/2020,7,Abbott Architect IgG,n-124,643,1530,42.0,,,Yes,table S3
2,Italy,Vo',representative,5/2/2020,11/28/2020,7,Abbott Architect IgG,n-108,25,72,34.7,,,Yes,figure 3
2,Italy,Trento: 5 municipalities,representative,5/10/2020,--,4,"Abbott Architect IgG, OR Diasorin Liaison S1/S2 spike IgG ",n-118,1051,1158,90.8,,,Yes,
2,Austria,Ischgl,representative,4/24/2020,11/17/2020,7,"Abbott Architect IgG, OR Elecsys Anti-SARS-CoV-2 Roche nucleocapsid, OR Euroimmun anti-spike",n-112,399,418,95.5,,,Yes,
4,Spain,National,representative,5/4/2020,11/22/2020,7,"Beckman ACCESS SARS-CoV-2 anti-RBD, OR Abbott Architect IgG",n-124,868,1530,56.7,,,Yes,
--,--,--,convenience (general population),*July 2020,*September 2020,2,COVIDAR,n-166,20,20,100.0,,,Yes,
--,--,--,convenience (general population),*July 2020,*October 2020,3,COVIDAR,n-166,17,20,85.0,,,Yes,
--,--,--,convenience (general population),*July 2020,*November 2020,4,COVIDAR,n-166,17,20,85.0,,,Yes,
2,Brazil,Barrio Padre Mugica,representative,6/18/2020,12/11/2020,6,COVIDAR,n-114,161,175,92.0,,,Yes,
2,Jersey,National,representative,5/5/2020,5/31/2020,1,CTK Biotech Onsite COVID 19 IgG/IgM rapid test kit,n-119,12,17,70.6,,,Yes,
3,Jersey,National,representative,5/31/2020,6/27/2020,1,CTK Biotech Onsite COVID 19 IgG/IgM rapid test kit,n-19,26,37,70.3,,,Yes,
--,--,--,hospitalized + non-hospitalized patients,* March - May 2020,--,5,Diasorin Liaison S1/S2 spike IgG ,n-133,86,88,97.7,,,Yes,
2,Italy,Vo',representative,5/2/2020,11/28/2020,7,Diasorin Liaison S1/S2 spike IgG ,n-108,65,73,89.0,,,Yes,figure 3
2,Ireland,National,representative,7/4/2020,*October 2020,3,Elecsys Anti-SARS-CoV-2 Roche spike,n-137,22,22,100.0,,,Yes,
3,Switzerland,Geneva,representative,6/3/2020,12/8/2020,6,Elecsys Anti-SARS-CoV-2 Roche spike,n-136,337,354,95.2,,,Yes,
3,Ireland,National,representative,7/4/2020,*January 2021,6,Elecsys Anti-SARS-CoV-2 Roche spike,n-137,22,22,100.0,,,Yes,
2,Ireland,National,representative,7/4/2020,*October 2020,3,Elecsys Anti-SARS-CoV-2 Roche nucleocapsid IgG IgM ,n-137,22,22,100.0,,,Yes,
-,--,--,convenience (general population),*March - June 2020,*October 2020,6,Elecsys Anti-SARS-CoV-2 Roche nucleocapsid IgG IgM ,n-168,479,484,99.0,,,Yes,
