"Age","Population","Prevalence1","Prevalence1L","Prevalence1H","Deaths1","Prevalence2","Prevalence2L","Prevalence2H","Deaths2","Location"
"0-9",7064,15,8.65,23.5,0,35,25.7,45.2,0,1
"10-19",7064,17,10.2,25.8,0,38,28.5,48.3,0,1
"20-29",7064,20,12.7,29.2,0,36,26.6,46.2,0,1
"30-39",7064,18,11,26.9,0,31,22.1,41,0,1
"40-49",7064,26,17.7,35.7,0,46,36,56.3,0,1
"50-59",7064,20,12.7,29.2,0,34,24.8,44.2,1,1
"60-69",7064,15,8.65,23.5,4,45,35,55.3,4,1
"70-79",7064,14,7.87,22.4,10,43,33.1,53.3,18,1
"80+",7064,19,11.8,28.1,51,45,35,55.3,96,1
"0-9",1051311,10.9,6.7,16.5,2,24.7,18.5,31.8,2,2
"10-19",1051311,19,13.4,25.6,2,24.7,18.5,31.8,3,2
"20-29",1051311,17.2,11.9,23.7,17,22.4,16.5,29.3,19,2
"30-39",1051311,12.1,7.63,17.9,53,25.3,19,32.4,70,2
"40-49",1051311,12.6,8.1,18.5,222,22.4,16.5,29.3,276,2
"50-59",1051311,10.3,6.25,15.9,772,23,17,30,945,2
"60-69",1051311,15.5,10.5,21.8,2736,20.7,14.9,27.5,3340,2
"70-79",1051311,19,13.4,25.6,9471,22.4,16.5,29.3,11798,2
"80+",1051311,16.7,11.5,23.1,31513,27,20.6,34.3,39942,2
"0-9",111705,9.74,5.55,15.6,0,29.2,22.2,37.1,0,3
"10-19",111705,9.09,5.06,14.8,0,29.2,22.2,37.1,0,3
"20-29",111705,11.7,7.08,17.8,1,31.2,24,39.1,1,3
"30-39",111705,7.79,4.09,13.2,2,31.2,24,39.1,5,3
"40-49",111705,7.14,3.62,12.4,3,33.1,25.8,41.1,11,3
"50-59",111705,5.84,2.71,10.8,10,31.2,24,39.1,24,3
"60-69",111705,11.7,7.08,17.8,51,29.9,22.8,37.8,100,3
"70-79",111705,4.55,1.85,9.14,176,35.1,27.6,43.2,414,3
"80+",111705,11.7,7.08,17.8,668,35.7,28.2,43.8,1537,3
"0-9",16449,6.55,3.71,10.6,0,17,12.4,22.5,0,4
"10-19",16449,6.11,3.38,10,0,19.7,14.7,25.4,0,4
"20-29",16449,7.86,4.72,12.1,0,15.7,11.3,21.1,0,4
"30-39",16449,4.8,2.42,8.43,0,18.3,13.5,24,1,4
"40-49",16449,7.86,4.72,12.1,2,13.1,9.02,18.2,5,4
"50-59",16449,5.68,3.06,9.51,4,19.7,14.7,25.4,8,4
"60-69",16449,4.8,2.42,8.43,13,14.4,10.1,19.6,24,4
"70-79",16449,5.24,2.74,8.97,50,19.2,14.3,24.9,113,4
"80+",16449,4.8,2.42,8.43,170,14.8,10.5,20.1,389,4
"0-9",6221,14,7.66,22.7,0,32.3,22.9,42.7,0,5
"10-19",6221,17.2,10.2,26.4,0,49.5,38.9,60,0,5
"20-29",6221,15.1,8.48,24,0,48.4,37.9,59,0,5
"30-39",6221,19.4,11.9,28.9,0,26.9,18.2,37.1,0,5
"40-49",6221,9.68,4.52,17.6,0,43,32.8,53.7,0,5
"50-59",6221,15.1,8.48,24,0,37.6,27.8,48.3,1,5
"60-69",6221,11.8,6.05,20.2,1,40.9,30.8,51.5,2,5
"70-79",6221,12.9,6.85,21.5,6,46.2,35.8,56.9,11,5
"80+",6221,17.2,10.2,26.4,41,45.2,34.8,55.8,64,5
"0-9",50463,5.98,3.31,9.83,0,31.6,25.7,38,0,6
